TotalReward,Steps,Episode,AvgReward,AvgSteps
49.9665644635467,6,1,,
29.984366954153835,4,2,,
39.974864499894906,5,3,,
9.983160662121403,2,4,,
129.8826262483424,14,5,,
49.9701570296376,6,6,,
9.98830100289352,2,7,,
39.9843141013928,5,8,,
69.94929909240685,8,9,,
39.94825581904129,5,10,,
39.97035428015162,5,11,,
59.97456587822748,7,12,,
79.96139482466818,9,13,,
19.974973445472045,3,14,,
79.95968927686872,9,15,,
29.96782773312281,4,16,,
39.95889637744882,5,17,,
29.978811309498944,4,18,,
99.96992161866858,11,19,,
69.9426294193274,8,20,,
9.984275385965814,2,21,,
39.97679694780748,5,22,,
49.977410122721736,6,23,,
39.98430061700438,5,24,,
9.987697463782775,2,25,,
49.967587526595885,6,26,,
89.95450144805477,10,27,,
9.980926807281355,2,28,,
99.93015512750624,11,29,,
59.93950091910824,7,30,,
9.992566657620857,2,31,,
19.98165708675765,3,32,,
59.96000541516956,7,33,,
39.96948145083624,5,34,,
229.90248531754364,24,35,,
69.956259284361,8,36,,
19.968493150737004,3,37,,
349.75597396941214,36,38,,
89.93964344034846,10,39,,
59.94288807628945,7,40,,
39.97247508243843,5,41,,
49.9623599290928,6,42,,
29.964495040889794,4,43,,
69.96753565854894,8,44,,
29.97048570634687,4,45,,
39.9306397250174,5,46,,
129.94284688115061,14,47,,
39.97941631592549,5,48,,
19.986265810307405,3,49,,
99.95760917325048,11,50,,
39.977849068477596,5,51,,
19.978603681713388,3,52,,
99.93554694901233,11,53,,
29.990067707540774,4,54,,
9.981893908379512,2,55,,
19.977827366681304,3,56,,
9.982457655120829,2,57,,
59.9731932027376,7,58,,
49.95798351554656,6,59,,
39.977385938340376,5,60,,
9.981765325743284,2,61,,
199.8787053505144,21,62,,
49.96668925372768,6,63,,
19.97551879479335,3,64,,
,1,65,,
29.96017108327988,4,66,,
109.95216000468584,12,67,,
89.96773691649005,10,68,,
69.98073875766418,8,69,,
19.987344487443508,3,70,,
39.9799123327338,5,71,,
79.97592856908892,9,72,,
49.97282645810113,6,73,,
59.97335347109577,7,74,,
29.97141051164708,4,75,,
29.961377925130346,4,76,,
109.95872782780702,12,77,,
69.96360777182335,8,78,,
69.95967061792209,8,79,,
59.94206579623312,7,80,,
39.973351551584535,5,81,,
39.96240926975217,5,82,,
29.985162030211463,4,83,,
9.985061130676128,2,84,,
109.8908867942948,12,85,,
29.985301282862626,4,86,,
89.92970524582569,10,87,,
89.95014649185181,10,88,,
89.9694251916218,10,89,,
89.84435281756716,10,90,,
9.979793778686036,2,91,,
29.9646500897704,4,92,,
59.982959633481514,7,93,,
59.98383939190534,7,94,,
19.972402260750293,3,95,,
89.98062765707488,10,96,,
89.9492021081038,10,97,,
59.950425069049125,7,98,,
39.9828617516894,5,99,,
39.961133635781664,5,100,,
,,,56.76203927006776,6.68
