Steps,Episode,TotalReward,AvgReward,AvgSteps
8,1,69.94281086780225,,
7,2,59.96131699220407,,
5,3,39.9822405310713,,
5,4,39.95988192257034,,
9,5,79.94633046774835,,
2,6,9.98070752390779,,
16,7,149.95107328246186,,
4,8,29.983987535112263,,
6,9,49.95481321261916,,
12,10,109.949846234676,,
4,11,29.972646370689763,,
11,12,99.98517736453849,,
9,13,79.94418864035558,,
3,14,19.967309702567505,,
1,15,,,
6,16,49.97737686889022,,
8,17,69.96421519912262,,
4,18,29.972672116280933,,
8,19,69.9689918831813,,
9,20,79.96559691462294,,
13,21,119.97065001209926,,
4,22,29.969422558498657,,
7,23,59.954238711908786,,
12,24,109.9652813889626,,
3,25,19.966572165197405,,
3,26,19.97707801419561,,
20,27,189.92817313385626,,
7,28,59.97381139480483,,
5,29,39.97098365407827,,
4,30,29.986924094391142,,
4,31,29.954874381139042,,
6,32,49.97552723219612,,
12,33,109.96643487360546,,
2,34,9.985179778659864,,
5,35,39.97068331427034,,
5,36,39.98854848539068,,
2,37,9.983486337188785,,
3,38,19.98214807520842,,
5,39,39.9659322473029,,
4,40,29.97608214431014,,
5,41,39.98304985454338,,
2,42,9.986892068715234,,
5,43,39.97957008562331,,
13,44,119.90642724704516,,
5,45,39.97547871443113,,
8,46,69.96303805758427,,
17,47,159.9209846005695,,
6,48,49.98368591890113,,
4,49,29.972667316878386,,
3,50,19.98442810265418,,
6,51,49.96447252054184,,
3,52,19.9706088593596,,
5,53,39.97789697376453,,
2,54,9.986051687058803,,
8,55,69.9582219708953,,
12,56,109.95970822016093,,
8,57,69.96462068366294,,
4,58,29.954910899695705,,
7,59,59.984281134413195,,
9,60,79.97130096043611,,
4,61,29.9699958813869,,
9,62,79.94691371064474,,
5,63,39.97112497862528,,
4,64,29.990054195932196,,
2,65,9.982929187077982,,
12,66,109.86777488461087,,
23,67,219.83211786799544,,
8,68,69.92198245129102,,
8,69,69.9565483461936,,
8,70,69.97886052920398,,
2,71,9.985861662860257,,
4,72,29.98403191787221,,
26,73,249.87607774728878,,
28,74,269.8452705819134,,
6,75,49.95960946902595,,
4,76,29.95889989450373,,
15,77,139.91787823207358,,
8,78,69.9677320289798,,
2,79,9.981450696001792,,
4,80,29.97695018884243,,
9,81,79.97090378869835,,
6,82,49.96987437661799,,
7,83,59.938185542775216,,
3,84,19.989690776636202,,
2,85,9.987920099320206,,
12,86,109.95811141127356,,
8,87,69.90957760466952,,
6,88,49.96637148167757,,
6,89,49.95787799356123,,
5,90,39.9810504311337,,
5,91,39.96898780118783,,
8,92,69.97824442526057,,
8,93,69.96731662853517,,
3,94,19.970920486679386,,
4,95,29.973717407929357,,
7,96,59.980780566322714,,
4,97,29.964491590136767,,
6,98,49.97432437891131,,
1,99,,,
2,100,9.985973384426416,,
,,,58.863578961327,6.89
